Annee,Fenetre_Lookback,Jours_Entrainement,Levier,Capital_Fin,Performance
2020,1 An,252,14,-347582.938129984,-1.347582938129984
2020,1 An,252,15,-433909.5412688397,-1.4339095412688396
2020,1.5 Ans,378,1,809111.0668029372,-0.1908889331970628
2020,1.5 Ans,378,2,712840.6892638181,-0.28715931073618195
2020,1.5 Ans,378,3,564209.8147144007,-0.4357901852855993
2020,1.5 Ans,378,4,404975.50419123657,-0.5950244958087634
2020,1.5 Ans,378,5,293167.95041700616,-0.7068320495829938
2020,1.5 Ans,378,6,168279.3642702636,-0.8317206357297364
2020,1.5 Ans,378,7,28064.496050781298,-0.9719355039492187
2020,1.5 Ans,378,8,-121812.1530179407,-1.1218121530179408
2020,1.5 Ans,378,9,-257198.15876194142,-1.2571981587619414
2020,1.5 Ans,378,10,-379902.2000380322,-1.3799022000380323
2020,1.5 Ans,378,11,-418054.7215594444,-1.4180547215594443
2020,1.5 Ans,378,12,-422346.3972117811,-1.4223463972117811
2020,1.5 Ans,378,13,-399668.57273306354,-1.3996685727330636
2020,1.5 Ans,378,14,-377020.22034104937,-1.3770202203410493
2020,1.5 Ans,378,15,-358728.03995837807,-1.358728039958378
2020,2 Ans,504,1,781736.0651714754,-0.21826393482852458
2020,2 Ans,504,2,675261.8857396692,-0.32473811426033083
2020,2 Ans,504,3,583373.1564785226,-0.4166268435214774
2020,2 Ans,504,4,506815.73058907123,-0.49318426941092874
2020,2 Ans,504,5,406983.0288601887,-0.5930169711398113
2020,2 Ans,504,6,298796.04115480516,-0.7012039588451948
2020,2 Ans,504,7,186326.05620359947,-0.8136739437964006
2020,2 Ans,504,8,151219.56178396725,-0.8487804382160328
2020,2 Ans,504,9,174643.9353351212,-0.8253560646648788
2020,2 Ans,504,10,205951.65906762597,-0.794048340932374
2020,2 Ans,504,11,210902.40834299446,-0.7890975916570055
2020,2 Ans,504,12,195369.49271925047,-0.8046305072807496
2020,2 Ans,504,13,179404.01788463595,-0.8205959821153641
2020,2 Ans,504,14,175462.20931978908,-0.8245377906802109
