;Volatilite (Ann) [1Y];Semi-Deviation [1Y];EWMA (Actuelle) [1Y];Ratio Symetrie (Vol/Semi) [1Y];VaR Hist 95% [1Y];VaR Param 95% [1Y];VaR MonteCarlo 95% [1Y];CVaR (Expected Shortfall) [1Y];Rendement Moyen (Ann) [1Y];Ratio Sharpe [1Y];Ratio Sortino [1Y];Beta (vs Market Avg) [1Y];Skewness [1Y];Kurtosis (Excess) [1Y];Max Drawdown [1Y];Ratio Calmar [1Y];Volatilite (Ann) [5Y];Semi-Deviation [5Y];EWMA (Actuelle) [5Y];Ratio Symetrie (Vol/Semi) [5Y];VaR Hist 95% [5Y];VaR Param 95% [5Y];VaR MonteCarlo 95% [5Y];CVaR (Expected Shortfall) [5Y];Rendement Moyen (Ann) [5Y];Ratio Sharpe [5Y];Ratio Sortino [5Y];Beta (vs Market Avg) [5Y];Skewness [5Y];Kurtosis (Excess) [5Y];Max Drawdown [5Y];Ratio Calmar [5Y];Volatilite (Ann) [FULL];Semi-Deviation [FULL];EWMA (Actuelle) [FULL];Ratio Symetrie (Vol/Semi) [FULL];VaR Hist 95% [FULL];VaR Param 95% [FULL];VaR MonteCarlo 95% [FULL];CVaR (Expected Shortfall) [FULL];Rendement Moyen (Ann) [FULL];Ratio Sharpe [FULL];Ratio Sortino [FULL];Beta (vs Market Avg) [FULL];Skewness [FULL];Kurtosis (Excess) [FULL];Max Drawdown [FULL];Ratio Calmar [FULL]
GBPAUD;0.08825694749784542;0.061609601319076245;0.04867288570931225;1.43251937373791;-0.008361346703219686;-0.009131502604901292;-0.00905882351373481;-0.012223563186434435;0.0033598437498799584;0.03806888687105319;0.05453441797942046;1.2542244728296212;;;-0.239747054080572;0.014014119017082115;0.08825694749784542;0.061609601319076245;0.04867288570931225;1.43251937373791;-0.008361346703219686;-0.009131502604901292;-0.009086404823347629;-0.012223563186434435;0.0033598437498799584;0.03806888687105319;0.05453441797942046;1.2542244728296212;;;-0.239747054080572;0.014014119017082115;0.08825694749784542;0.061609601319076245;0.04867288570931225;1.43251937373791;-0.008361346703219686;-0.009131502604901292;-0.009032343970508394;-0.012223563186434435;0.0033598437498799584;0.03806888687105319;0.05453441797942046;1.2542244728296212;;;-0.239747054080572;0.014014119017082115
CADJPY;0.10379848342671226;0.07069650171245032;0.06557192032942485;1.4682265870650906;-0.010419754353310778;-0.010628130096115145;-0.01094151343648356;-0.014543008945890392;0.03201851916919108;0.30846808269407916;0.45290104027243994;1.1803699627483617;;;-0.17897479544075595;0.178899599188478;0.10379848342671226;0.07069650171245032;0.06557192032942485;1.4682265870650906;-0.010419754353310778;-0.010628130096115145;-0.010569363159325941;-0.014543008945890392;0.03201851916919108;0.30846808269407916;0.45290104027243994;1.1803699627483617;;;-0.17897479544075595;0.178899599188478;0.10379848342671226;0.07069650171245032;0.06557192032942485;1.4682265870650906;-0.010419754353310778;-0.010628130096115145;-0.011012860663718087;-0.014543008945890392;0.03201851916919108;0.30846808269407916;0.45290104027243994;1.1803699627483617;;;-0.17897479544075595;0.178899599188478
NZDJPY;0.10835957337980023;0.07514247583929098;0.06908496885953183;1.4420548720214044;-0.010868434081523028;-0.011167272833775383;-0.011343292774077163;-0.015564520328769123;0.015250272098328934;0.14073765356086018;0.202951418994299;1.40780150294671;;;-0.25787586014326624;0.05913803676643657;0.10835957337980023;0.07514247583929098;0.06908496885953183;1.4420548720214044;-0.010868434081523028;-0.011167272833775383;-0.011159693534916396;-0.015564520328769123;0.015250272098328934;0.14073765356086018;0.202951418994299;1.40780150294671;;;-0.25787586014326624;0.05913803676643657;0.10835957337980023;0.07514247583929098;0.06908496885953183;1.4420548720214044;-0.010868434081523028;-0.011167272833775383;-0.011269770721741667;-0.015564520328769123;0.015250272098328934;0.14073765356086018;0.202951418994299;1.40780150294671;;;-0.25787586014326624;0.05913803676643657
EURCAD;0.07300861222540692;0.04878972659088902;0.03716287665043636;1.4963931410724596;-0.007475492917674468;-0.007528665586140263;-0.007353978380019695;-0.010328210117480011;0.009121802520132633;0.12494145885104574;0.18696154206029178;0.6959300495684386;;;-0.2006407744843502;0.04546335381517442;0.07300861222540692;0.04878972659088902;0.03716287665043636;1.4963931410724596;-0.007475492917674468;-0.007528665586140263;-0.007522853921016768;-0.010328210117480011;0.009121802520132633;0.12494145885104574;0.18696154206029178;0.6959300495684386;;;-0.2006407744843502;0.04546335381517442;0.07300861222540692;0.04878972659088902;0.03716287665043636;1.4963931410724596;-0.007475492917674468;-0.007528665586140263;-0.00743684934123677;-0.010328210117480011;0.009121802520132633;0.12494145885104574;0.18696154206029178;0.6959300495684386;;;-0.2006407744843502;0.04546335381517442
GBPCAD;0.08399057071778943;0.06082981227622459;0.045372818816082926;1.380746834075259;-0.00794678768221019;-0.008727290934799422;-0.008772902790971765;-0.011860233138718894;-0.006179211269466255;-0.07357029743527486;-0.10158195526573091;1.24395682658574;;;-0.29531821041662887;-0.020923908690726356;0.08399057071778943;0.06082981227622459;0.045372818816082926;1.380746834075259;-0.00794678768221019;-0.008727290934799422;-0.008913150689428162;-0.011860233138718894;-0.006179211269466255;-0.07357029743527486;-0.10158195526573091;1.24395682658574;;;-0.29531821041662887;-0.020923908690726356;0.08399057071778943;0.06082981227622459;0.045372818816082926;1.380746834075259;-0.00794678768221019;-0.008727290934799422;-0.008646269049321443;-0.011860233138718894;-0.006179211269466255;-0.07357029743527486;-0.10158195526573091;1.24395682658574;;;-0.29531821041662887;-0.020923908690726356
USDTRY;0.17993795260532391;0.15151953870335744;0.009941697203537896;1.1875561009831452;-0.01075858067254158;-0.01754698813316633;-0.017183466963106818;-0.021187448352095784;0.27656238713165004;1.5369875177932155;1.8252589038902733;2.2020850840386648;;;-0.3493236994637847;0.7917080563276296;0.17993795260532391;0.15151953870335744;0.009941697203537896;1.1875561009831452;-0.01075858067254158;-0.01754698813316633;-0.0170969400208848;-0.021187448352095784;0.27656238713165004;1.5369875177932155;1.8252589038902733;2.2020850840386648;;;-0.3493236994637847;0.7917080563276296;0.17993795260532391;0.15151953870335744;0.009941697203537896;1.1875561009831452;-0.01075858067254158;-0.01754698813316633;-0.01696918550760063;-0.021187448352095784;0.27656238713165004;1.5369875177932155;1.8252589038902733;2.2020850840386648;;;-0.3493236994637847;0.7917080563276296
USDINR;0.058339938657371776;0.03909453003174396;0.052340345414417136;1.4922788075467577;-0.005521571007010887;-0.005921158617597497;-0.0058904252047813094;-0.007959663291005436;0.031196275584502386;0.5347327457390196;0.7979703441676278;0.3505063676493982;;;-0.08354422405220321;0.37341032175975647;0.058339938657371776;0.03909453003174396;0.052340345414417136;1.4922788075467577;-0.005521571007010887;-0.005921158617597497;-0.005852506097796921;-0.007959663291005436;0.031196275584502386;0.5347327457390196;0.7979703441676278;0.3505063676493982;;;-0.08354422405220321;0.37341032175975647;0.058339938657371776;0.03909453003174396;0.052340345414417136;1.4922788075467577;-0.005521571007010887;-0.005921158617597497;-0.005897962452348911;-0.007959663291005436;0.031196275584502386;0.5347327457390196;0.7979703441676278;0.3505063676493982;;;-0.08354422405220321;0.37341032175975647
USDBRL;0.1639908785919044;0.10687566468282496;0.14629454311246426;1.5344080345940334;-0.015934928943801576;-0.016817062161249254;-0.01679365485675473;-0.022397410250074905;0.04410582584842574;0.26895292120596687;0.41268352322597157;2.1431902296187033;;;-0.26421094673899825;0.16693413498872112;0.1639908785919044;0.10687566468282496;0.14629454311246426;1.5344080345940334;-0.015934928943801576;-0.016817062161249254;-0.016892043282705157;-0.022397410250074905;0.04410582584842574;0.26895292120596687;0.41268352322597157;2.1431902296187033;;;-0.26421094673899825;0.16693413498872112;0.1639908785919044;0.10687566468282496;0.14629454311246426;1.5344080345940334;-0.015934928943801576;-0.016817062161249254;-0.016848034103852876;-0.022397410250074905;0.04410582584842574;0.26895292120596687;0.41268352322597157;2.1431902296187033;;;-0.26421094673899825;0.16693413498872112
USDZAR;0.20551069239664602;0.14735297009406614;0.05323541150951368;1.3946830679113802;-0.014929333776569619;-0.02118644080644605;-0.02126867627639961;-0.022434270412009204;0.02715630667025032;0.13214060228962332;0.18429426059694942;2.7826214513695127;;;-0.31454975407952773;0.0863338989080385;0.20551069239664602;0.14735297009406614;0.05323541150951368;1.3946830679113802;-0.014929333776569619;-0.02118644080644605;-0.02123075414550595;-0.022434270412009204;0.02715630667025032;0.13214060228962332;0.18429426059694942;2.7826214513695127;;;-0.31454975407952773;0.0863338989080385;0.20551069239664602;0.14735297009406614;0.05323541150951368;1.3946830679113802;-0.014929333776569619;-0.02118644080644605;-0.021203594783098356;-0.022434270412009204;0.02715630667025032;0.13214060228962332;0.18429426059694942;2.7826214513695127;;;-0.31454975407952773;0.0863338989080385
USDSEK;0.10168328807217267;0.06487492409369848;0.054621285995979874;1.5673742897226681;-0.010185158579133739;-0.010482742492024195;-0.010562515113249609;-0.013726112620823508;0.013425817958676693;0.13203563941743632;0.20694926654998258;0.15813366688707375;;;-0.21900476564437937;0.061303770806876316;0.10168328807217267;0.06487492409369848;0.054621285995979874;1.5673742897226681;-0.010185158579133739;-0.010482742492024195;-0.010366125073337269;-0.013726112620823508;0.013425817958676693;0.13203563941743632;0.20694926654998258;0.15813366688707375;;;-0.21900476564437937;0.061303770806876316;0.10168328807217267;0.06487492409369848;0.054621285995979874;1.5673742897226681;-0.010185158579133739;-0.010482742492024195;-0.010329109003725955;-0.013726112620823508;0.013425817958676693;0.13203563941743632;0.20694926654998258;0.15813366688707375;;;-0.21900476564437937;0.061303770806876316
