,Close,High,Low,Open,Volume,"('Close', 'EURJPY=X')","('High', 'EURJPY=X')","('Low', 'EURJPY=X')","('Open', 'EURJPY=X')","('Volume', 'EURJPY=X')"
2018-11-13,127.61199951171875,128.73399353027344,127.5009994506836,127.56999969482422,0,,,,,
2018-11-14,128.70799255371094,129.1529998779297,128.28399658203125,128.74000549316406,0,,,,,
2018-11-15,128.45599365234375,128.83799743652344,127.77100372314453,128.468994140625,0,,,,,
2018-11-16,128.59500122070312,128.76499938964844,128.16099548339844,128.60299682617188,0,,,,,
2018-11-19,128.66099548339844,129.05999755859375,128.47000122070312,128.63800048828125,0,,,,,
2018-11-20,128.8000030517578,129.0290069580078,128.00799560546875,128.83700561523438,0,,,,,
2018-11-21,128.1959991455078,129.06100463867188,128.16000366210938,128.17999267578125,0,,,,,
2018-11-22,128.72000122070312,129.0959930419922,128.66200256347656,128.72500610351562,0,,,,,
2018-11-23,128.8300018310547,128.91200256347656,127.86299896240234,128.84100341796875,0,,,,,
2018-11-26,128.00999450683594,128.89199829101562,127.98999786376953,128.0330047607422,0,,,,,
2018-11-27,128.6300048828125,128.82000732421875,128.36000061035156,128.65199279785156,0,,,,,
2018-11-28,128.53500366210938,128.71800231933594,128.2480010986328,128.5279998779297,0,,,,,
2018-11-29,129.08200073242188,129.1230010986328,128.6699981689453,129.08299255371094,0,,,,,
2018-11-30,129.19200134277344,129.24200439453125,128.45799255371094,129.19400024414062,0,,,,,
2018-12-03,129.0290069580078,129.1320037841797,128.5500030517578,129.01499938964844,0,,,,,
2018-12-04,128.9669952392578,129.0,128.1199951171875,128.95899963378906,0,,,,,
2018-12-05,127.8280029296875,128.43099975585938,127.81800079345703,127.83200073242188,0,,,,,
2018-12-06,128.29100036621094,128.35499572753906,127.68599700927734,128.28900146484375,0,,,,,
2018-12-07,128.1739959716797,128.58399963378906,128.1199951171875,128.24400329589844,0,,,,,
2018-12-10,128.25100708007812,128.92599487304688,128.26800537109375,128.29100036621094,0,,,,,
2018-12-11,128.52999877929688,128.94200134277344,128.22999572753906,128.54100036621094,0,,,,,
2018-12-12,128.3780059814453,128.8459930419922,128.27999877929688,128.3699951171875,0,,,,,
2018-12-13,128.83999633789062,129.23599243164062,128.7100067138672,128.83299255371094,0,,,,,
2018-12-14,129.03500366210938,129.1020050048828,128.0540008544922,129.0489959716797,0,,,,,
2018-12-17,128.19400024414062,128.58299255371094,127.98600006103516,128.197998046875,0,,,,,
2018-12-18,128.05299377441406,128.10000610351562,127.64800262451172,128.05499267578125,0,,,,,
2018-12-19,127.99400329589844,128.3509979248047,127.7249984741211,127.96499633789062,0,,,,,
2018-12-20,128.01800537109375,128.35000610351562,127.21499633789062,128.01499938964844,0,,,,,
